block_size,mlp_expansion_factor,n_embd,n_head,n_layer,num_params,best_val_loss
256,2,512,4,33,95102976.0,4.000126
256,2,512,4,34,97201152.0,3.867623
256,2,512,4,35,99299328.0,3.920091
256,2,512,4,36,101000000.0,3.944944
256,2,512,8,33,95102976.0,3.880317
256,2,512,8,34,97201152.0,3.868018
256,2,512,8,35,99299328.0,3.861154
256,2,512,8,36,101000000.0,3.890072
256,2,768,4,13,100000000.0,4.014108
256,2,768,8,12,95436288.0,5.984435
256,2,768,8,13,100000000.0,3.940401
256,2,768,12,12,95436288.0,3.883055925
256,2,768,12,13,100156416.0,3.867541313
256,2,1536,4,1,96466944.0,5.32484
256,2,1536,6,1,96466944.0,4.863113403
256,2,1536,8,1,96466944.0,4.739757
256,2,1536,12,1,96466944.0,4.63972044
256,4,512,4,22,95091712.0,3.897715
256,4,512,4,23,98238464.0,3.907234
256,4,512,4,24,101000000.0,3.880468
256,4,512,8,22,95091712.0,3.879916
256,4,512,8,23,98238464.0,3.87342
256,4,512,8,24,101000000.0,3.858786
256,4,768,4,8,95430144.0,5.395456
256,4,768,4,9,103000000.0,5.95711
256,4,768,6,8,95430144.0,5.066555977
256,4,768,6,9,102509568.0,3.924353361
256,4,768,8,8,95430144.0,3.983705
256,4,768,8,9,103000000.0,3.870885
256,4,768,12,8,95430144.0,3.859426498
256,4,768,12,9,102509568.0,3.858123541
256,4,1024,4,4,102000000.0,5.623766
256,4,1024,8,4,102000000.0,5.603291
256,6,384,4,32,94919424.0,3.900489
256,6,384,4,33,97279488.0,3.916409
256,6,384,4,34,99639552.0,3.95741
256,6,384,4,35,102000000.0,3.93665
256,6,384,4,36,104000000.0,3.920903
256,6,384,6,32,94919424.0,3.903256178
256,6,384,6,33,97279488.0,3.930401325
256,6,384,6,34,99639552.0,3.894551992
256,6,384,6,35,101999616.0,3.892057896
256,6,384,6,36,104359680.0,3.929627657
256,6,384,8,32,94919424.0,3.909883
256,6,384,8,33,97279488.0,3.909856
256,6,384,8,34,99639552.0,3.930154
256,6,384,8,35,102000000.0,3.881849
256,6,384,12,32,94919424.0,3.907950401
256,6,384,12,33,97279488.0,3.888362408
256,6,384,12,34,99639552.0,3.963354111
256,6,384,12,35,101999616.0,3.862725735
256,6,384,12,36,104359680.0,3.880776882
256,6,512,4,17,97183744.0,3.897437
256,6,512,4,18,101000000.0,3.886691
256,6,512,8,17,97183744.0,3.912747
256,6,512,8,18,101000000.0,3.832604
256,6,768,4,6,95427072.0,5.72191
256,6,768,6,6,95427072.0,5.320477962
256,6,768,8,6,95427072.0,4.051727
256,6,768,12,6,95427072.0,3.863721609
256,6,1024,4,3,102000000.0,5.135327
256,6,1024,8,3,102000000.0,5.338571
256,8,384,4,26,96094464.0,3.928467
256,8,384,4,27,99044352.0,3.922843
256,8,384,4,28,102000000.0,3.922359
256,8,384,6,26,96094464.0,3.927562952
256,8,384,6,27,99044352.0,3.928397179
256,8,384,6,28,101994240.0,3.886095524
256,8,384,8,26,96094464.0,3.915269
256,8,384,8,27,99044352.0,3.887587
256,8,384,8,28,102000000.0,3.884944
256,8,384,12,26,96094464.0,3.912087917
256,8,384,12,27,99044352.0,3.902859449
256,8,384,12,28,101994240.0,3.901465654
256,8,512,4,14,99277824.0,3.915601
256,8,512,4,15,105000000.0,3.869791
256,8,512,8,14,99277824.0,3.832201
256,8,768,4,5,97784832.0,3.918817
256,8,768,6,5,97784832.0,3.892816067
256,8,768,8,5,97784832.0,3.862836
256,8,768,12,5,97784832.0,3.856308937
512,2,512,4,33,95234048.0,3.687956
512,2,512,4,34,97332224.0,3.676334
512,2,512,4,35,99430400.0,3.722883
512,2,512,4,36,102000000.0,3.643701
512,2,512,8,33,95234048.0,3.657234
512,2,512,8,34,97332224.0,3.677569
512,2,512,8,35,99430400.0,3.649605
512,2,512,8,36,102000000.0,3.620286
512,2,768,4,12,95632896.0,3.694258
512,2,768,4,13,100000000.0,5.967175
512,2,768,6,12,95632896.0,3.653147697
512,2,768,6,13,100353024.0,3.674141645
512,2,768,8,12,95632896.0,3.624091
512,2,768,8,13,100000000.0,3.607185
512,2,768,12,12,95632896.0,3.614198208
512,2,768,12,13,100353024.0,3.63772583
512,2,1536,4,1,96860160.0,4.186363
512,2,1536,6,1,96860160.0,4.148602486
512,2,1536,8,1,96860160.0,4.150421
512,2,1536,12,1,96860160.0,4.135327339
512,4,512,4,22,95222784.0,3.697693
512,4,512,4,23,98369536.0,3.675877
512,4,512,4,24,102000000.0,3.732438
512,4,512,8,22,95222784.0,3.689626
